-DOCSTART- -X- -X- O

The DT B-NP O
rapid JJ I-NP O
spread NN I-NP O
of IN I-PP O
COVID-19 NNP B-NP I-MISC
in IN B-PP O
early JJ B-NP O
2020 CD I-NP O
prompted VBD B-VP O
the DT B-NP O
World NNP I-NP I-ORG
Health NNP I-NP I-ORG
Organization NNP I-NP I-ORG
to TO B-VP O
declare VB I-VP O
a DT B-NP O
global JJ I-NP O
pandemic NN I-NP O
, , O O
affecting VBG B-VP O
millions NNS B-NP O
of IN I-PP O
people NNS I-NP O
worldwide NN B-ADVP O
. . O O

Sheep NNP I-NP O
have VBP I-VP O
long RB I-VP O
been VBN I-VP O
known VBN I-VP O
to TO I-PP O
contract NN I-NP O
scrapie NN I-NP O
, , O O
a DT I-NP O
brain-wasting JJ I-NP O
disease NN I-NP O
similar JJ I-ADJP O
to TO I-PP O
BSE NNP I-NP I-MISC
which WDT B-NP O
is VBZ I-VP O
believed VBN I-VP O
to TO I-VP O
have VB I-VP O
been VBN I-VP O
transferred VBN I-VP O
to TO I-PP O
cattle NNS I-NP O
through IN I-PP O
feed NN I-NP O
containing VBG I-VP O
animal NN I-NP O
waste NN I-NP O
. . O O
